GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0022200547,1610612758,Kings,SAC,Sacramento,240.000000:00,0.484,0.156,0.153,0.246,0.51,0.24,0.118,0.414
0022200547,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.51,0.24,0.118,0.362,0.484,0.156,0.153,0.333
0022200545,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.52,0.172,0.123,0.25,0.446,0.239,0.156,0.279
0022200545,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.446,0.239,0.156,0.246,0.52,0.172,0.123,0.339
0022200539,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.453,0.219,0.116,0.237,0.681,0.238,0.139,0.059
0022200539,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.681,0.238,0.139,0.059,0.453,0.219,0.116,0.288
0022200546,1610612762,Jazz,UTA,Utah,240.000000:00,0.537,0.543,0.159,0.333,0.579,0.337,0.115,0.306
0022200546,1610612748,Heat,MIA,Miami,240.000000:00,0.579,0.337,0.115,0.204,0.537,0.543,0.159,0.417
0022200542,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.6,0.376,0.134,0.341,0.663,0.244,0.053,0.195
0022200542,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.663,0.244,0.053,0.146,0.6,0.376,0.134,0.432
0022200544,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.494,0.313,0.149,0.188,0.539,0.315,0.14,0.333
0022200544,1610612765,Pistons,DET,Detroit,240.000000:00,0.539,0.315,0.14,0.294,0.494,0.313,0.149,0.208
0022200541,1610612752,Knicks,NYK,New York,240.000000:00,0.472,0.356,0.102,0.267,0.468,0.299,0.25,0.327
0022200541,1610612745,Rockets,HOU,Houston,240.000000:00,0.468,0.299,0.25,0.231,0.472,0.356,0.102,0.317
0022200540,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.535,0.224,0.211,0.294,0.525,0.296,0.154,0.205
0022200540,1610612741,Bulls,CHI,Chicago,240.000000:00,0.525,0.296,0.154,0.205,0.535,0.224,0.211,0.333
0022200543,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.396,0.396,0.179,0.238,0.538,0.239,0.176,0.313
0022200543,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.538,0.239,0.176,0.271,0.396,0.396,0.179,0.365
0022200538,1610612746,Clippers,LAC,LA,240.000000:00,0.638,0.363,0.159,0.211,0.602,0.33,0.115,0.273
0022200538,1610612754,Pacers,IND,Indiana,240.000000:00,0.602,0.33,0.115,0.182,0.638,0.363,0.159,0.211
0022200533,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.478,0.37,0.074,0.119,0.538,0.355,0.194,0.426
0022200533,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.538,0.355,0.194,0.37,0.478,0.37,0.074,0.153
0022200537,1610612762,Jazz,UTA,Utah,240.000000:00,0.595,0.357,0.126,0.179,0.622,0.211,0.145,0.318
0022200537,1610612758,Kings,SAC,Sacramento,240.000000:00,0.622,0.211,0.145,0.227,0.595,0.357,0.126,0.231
0022200534,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.653,0.293,0.189,0.086,0.631,0.45,0.136,0.302
0022200534,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.631,0.45,0.136,0.163,0.653,0.293,0.189,0.171
0022200530,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.594,0.188,0.148,0.267,0.53,0.198,0.093,0.246
0022200530,1610612737,Hawks,ATL,Atlanta,240.000000:00,0.53,0.198,0.093,0.211,0.594,0.188,0.148,0.333
0022200536,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.527,0.253,0.16,0.315,0.555,0.231,0.135,0.365
0022200536,1610612744,Warriors,GSW,Golden State,240.000000:00,0.555,0.231,0.135,0.327,0.527,0.253,0.16,0.389
0022200532,1610612765,Pistons,DET,Detroit,240.000000:00,0.576,0.279,0.161,0.271,0.641,0.163,0.139,0.385
0022200532,1610612741,Bulls,CHI,Chicago,240.000000:00,0.641,0.163,0.139,0.308,0.576,0.279,0.161,0.375
0022200535,1610612748,Heat,MIA,Miami,240.000000:00,0.529,0.345,0.144,0.229,0.704,0.289,0.199,0.212
0022200535,1610612743,Nuggets,DEN,Denver,240.000000:00,0.704,0.289,0.199,0.152,0.529,0.345,0.144,0.292
0022200531,1610612761,Raptors,TOR,Toronto,240.000000:00,0.562,0.321,0.124,0.186,0.592,0.324,0.272,0.351
