GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
22201073,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,140,46,28,18,15,1,11,30,2,4,6,0,5,5,3,5
22201073,1610612752,Knicks,NYK,New York,240.000000:00,134,52,40,12,11,0,8,17,3,2,5,1,5,5,5,6
22201071,1610612754,Pacers,IND,Indiana,240.000000:00,109,51,35,16,15,0,7,15,2,2,4,3,5,8,5,8
22201071,1610612766,Hornets,CHA,Charlotte,240.000000:00,115,52,33,19,16,0,11,24,2,4,6,1,2,3,3,3
22201075,1610612742,Mavericks,DAL,Dallas,240.000000:00,108,53,37,16,9,0,9,19,0,4,4,1,15,13,4,16
22201075,1610612763,Grizzlies,MEM,Memphis,240.000000:00,112,52,29,23,14,0,15,35,0,4,4,5,6,5,2,11
22201072,1610612741,Bulls,CHI,Chicago,290.000000:00,109,55,27,28,34,1,8,17,3,4,7,0,10,9,3,10
22201072,1610612755,76ers,PHI,Philadelphia,290.000000:00,105,57,33,24,15,0,5,12,8,4,12,7,14,18,12,21
22201064,1610612756,Suns,PHX,Phoenix,240.000000:00,120,50,30,20,14,0,15,35,4,4,8,2,1,3,2,3
22201064,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,124,61,38,23,19,2,11,27,2,3,5,1,3,4,1,4
22201063,1610612743,Nuggets,DEN,Denver,240.000000:00,108,36,20,16,14,1,8,17,2,1,3,0,4,4,2,4
22201063,1610612751,Nets,BKN,Brooklyn,240.000000:00,102,39,25,14,14,1,10,22,4,2,6,2,4,6,3,6
22201067,1610612740,Pelicans,NOP,New Orleans,240.000000:00,117,46,26,20,15,2,8,16,2,1,3,1,6,7,6,7
22201067,1610612745,Rockets,HOU,Houston,240.000000:00,107,43,27,16,8,0,10,23,2,2,4,0,2,2,1,2
22201065,1610612737,Hawks,ATL,Atlanta,240.000000:00,118,51,38,13,8,2,11,22,3,1,4,3,3,6,5,6
22201065,1610612759,Spurs,SAS,San Antonio,240.000000:00,126,41,33,8,15,0,21,49,1,3,4,0,3,3,1,3
22201068,1610612761,Raptors,TOR,Toronto,240.000000:00,111,37,19,18,19,0,9,20,2,4,6,1,3,4,2,4
22201068,1610612749,Bucks,MIL,Milwaukee,240.000000:00,118,55,40,15,9,0,4,9,5,1,6,0,4,3,2,4
22201069,1610612746,Clippers,LAC,LA,240.000000:00,117,33,22,11,19,0,7,16,2,1,3,2,0,2,2,2
22201069,1610612757,Trail Blazers,POR,Portland,240.000000:00,102,44,31,13,16,1,11,24,4,1,5,1,2,3,1,3
22201070,1610612753,Magic,ORL,Orlando,240.000000:00,105,40,21,19,22,0,9,20,0,2,2,3,4,7,5,7
22201070,1610612747,Lakers,LAL,Los Angeles,240.000000:00,111,56,39,17,6,1,6,13,5,4,9,0,2,2,1,2
22201066,1610612748,Heat,MIA,Miami,240.000000:00,112,45,26,19,12,2,6,15,4,1,5,3,25,16,6,28
22201066,1610612765,Pistons,DET,Detroit,240.000000:00,100,53,29,24,7,0,6,12,4,1,5,2,7,5,0,9
22201060,1610612748,Heat,MIA,Miami,240.000000:00,99,55,27,28,9,0,5,13,5,2,7,3,11,9,6,14
22201060,1610612741,Bulls,CHI,Chicago,240.000000:00,113,48,27,21,16,1,5,11,3,4,7,1,5,6,5,6
22201056,1610612753,Magic,ORL,Orlando,240.000000:00,113,38,31,7,9,0,7,15,2,2,4,1,2,3,2,3
22201056,1610612746,Clippers,LAC,LA,240.000000:00,108,40,24,16,14,1,4,9,2,1,3,1,1,2,1,2
22201062,1610612738,Celtics,BOS,Boston,240.000000:00,117,59,30,29,10,0,2,5,3,0,3,0,5,5,2,5
22201062,1610612762,Jazz,UTA,Utah,240.000000:00,118,40,19,21,17,0,7,15,2,0,2,1,8,9,2,9
22201058,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,107,55,37,18,15,2,7,14,3,3,6,1,2,3,2,3
22201058,1610612761,Raptors,TOR,Toronto,240.000000:00,122,43,33,10,16,1,12,25,2,2,4,0,3,3,2,3
22201055,1610612743,Nuggets,DEN,Denver,240.000000:00,110,47,31,16,9,0,12,30,0,4,4,2,8,10,7,10
22201055,1610612752,Knicks,NYK,New York,240.000000:00,116,41,27,14,10,0,4,9,3,4,7,3,2,5,5,5
22201059,1610612758,Kings,SAC,Sacramento,240.000000:00,132,51,31,20,18,0,11,28,3,2,5,2,7,9,6,9
22201059,1610612764,Wizards,WAS,Washington,240.000000:00,118,48,26,22,16,0,9,19,3,1,4,0,3,2,0,3
22201061,1610612744,Warriors,GSW,Golden State,240.000000:00,119,55,36,19,6,0,11,27,6,2,8,2,3,5,5,5
22201061,1610612763,Grizzlies,MEM,Memphis,240.000000:00,133,49,31,18,17,0,10,23,1,1,2,0,5,4,0,5
22201057,1610612755,76ers,PHI,Philadelphia,240.000000:00,141,40,25,15,12,0,8,18,2,3,5,0,3,3,0,3
22201057,1610612754,Pacers,IND,Indiana,240.000000:00,121,42,25,17,9,1,6,12,2,1,3,0,3,3,0,3
22201054,1610612742,Mavericks,DAL,Dallas,240.000000:00,111,51,38,13,13,0,13,31,5,3,8,0,4,4,1,4
22201054,1610612747,Lakers,LAL,Los Angeles,240.000000:00,110,39,16,23,18,0,14,28,1,2,3,3,2,5,1,5
22201050,1610612750,Timberwolves,MIN,Minnesota,290.000000:00,131,65,48,17,11,0,9,23,6,1,7,1,12,5,3,13
